year;policía;doctor;abogado;periodista;pintor;músico;fotógrafo;doctora;profesora;taxista;cartero;albañil;bombero;fotógrafa;dependienta
1913;0,00439022400574426;0,026597274076526185;0,0025212335458490998;0,000746382193028694;0,0015858732175339746;0,000370909560842847;9,241847952320572e-05;9,716112653482663e-05;0,00041885398007122736;8,677302051499477e-08;7,129733765915651e-05;0,0001314768123198259;2,7229968273851614e-05;0,0;7,437035368492875e-07
1914;0,0042617231104356635;0,02699758271254333;0,0024622890902849448;0,0007473192714054935;0,0017603133138826316;0,0003881303590398082;9,320755956261044e-05;9,995838062033208e-05;0,0004407190285097126;8,677302051499477e-08;7,234189963258229e-05;0,00012997211180325912;2,8573891443427003e-05;0,0;8,445879678171359e-07
1915;0,00423262946631959;0,029385364697580893;0,002421992524302498;0,0007681932012409171;0,0018382517347553013;0,000401015427087259;9,168994259718082e-05;0,00010583549559279554;0,0004671040967098504;1,6253098549563155e-07;7,462752640614261e-05;0,0001262566351150391;4,580058511497295e-05;0,0;9,203459327977725e-07
1916;0,004297028551393721;0,030488100933975408;0,0024827026209095493;0,0008089912755947029;0,0019149247106854872;0,0004235175668197501;8,67868396068973e-05;0,0001076087211718654;0,00042549081626930274;1,6253098549563155e-07;6,466688578906801e-05;0,00013053049526336378;4,5577434905551074e-05;0,0;9,203459327977725e-07
1917;0,004320189639526818;0,03144061068139438;0,0025408144730525756;0,0008310143584822072;0,0019558814398936064;0,00041353651860325566;8,255680735861201e-05;0,0001014423227323797;0,0003875153652188601;7,575796498063678e-08;6,900032920904258e-05;0,00013001945181453526;4,395651477092802e-05;0,0;9,951748948720609e-07
1918;0,004392380131840972;0,034914420185876746;0,0025150627022542593;0,0008679959786864597;0,00182231533472077;0,0004118811895230985;7,649487413021103e-05;0,00010704680854749831;0,0003690482831838641;2,344518484116114e-07;7,799229950121247e-05;0,00013210406726622232;4,406337999236192e-05;0,0;6,509350328595279e-07
1919;0,004351431562099606;0,03466290862499071;0,0024619060630876838;0,0009170928803671683;0,001806399905035505;0,00040778443560286954;7,992104705018781e-05;0,00011267684547939489;0,00033669096280521316;2,344518484116114e-07;7,429797587324824e-05;0,00013456761881311;4,273942266763697e-05;0,0;1,2151608354469902e-06
1920;0,004485622464146998;0,034776265550005646;0,002425482723213333;0,0009403629909294458;0,0016984674662775695;0,00039095577579116385;8,033699957975062e-05;0,0001163312528465862;0,0003271200057497481;2,344518484116114e-07;9,101743135683396e-05;0,00013740199895957112;4,200814426472529e-05;0,0;1,5308060914114615e-06
1921;0,0044558756988927984;0,03452038425686104;0,0024426513326553895;0,000931965015687248;0,0016446627471720732;0,00040684152346719723;8,378052354731023e-05;0,000123548391327079;0,00029516593908088647;2,344518484116114e-07;9,122810118762053e-05;0,00014548217401560187;4,422503922439448e-05;0,0;1,3618565894038933e-06
1922;0,004441586341792052;0,03257645792993052;0,0025364246799394357;0,0009845753733575943;0,0016851568294181823;0,00041954785306838203;8,772680644142383e-05;0,00012600628938993656;0,00024757190268636417;1,5869388343097463e-07;8,37199244025604e-05;0,00014789334272791166;2,9606500260927404e-05;0,0;1,3600423454107613e-06
