year;sierra;escalera;casco;maletín;cono;cubo;linterna;chaleco;martillo;pincel;pala;manguera;taladro;polea;destornillador
1938;0,002103443408226927;0,0008296092866138288;0,00048737966348458685;2,2789685414993854e-05;0,000546213414054364;0,00020580392369343566;0,00019555298617238544;0,00014959458017723852;0,00035254784052085597;0,0003646238448189771;0,00035501762860284155;5,102446323235199e-05;0,0001092255315273048;7,593789307845457e-05;9,832864427445592e-06
1939;0,002174044103802381;0,000804501477042712;0,0004884150842242109;2,334686846389949e-05;0,0005552390121010831;0,00020374547245540143;0,00018948269696141194;0,00015924279068713076;0,0003456108450856326;0,0003715624643518822;0,00036502222948391657;5,387693704506091e-05;0,00011110707305306278;8,079167303419257e-05;9,240599041504538e-06
1940;0,0022515990557232207;0,0007813812252217239;0,0004925927831728975;2,3535527710854304e-05;0,0005989926389052666;0,00019432414189525716;0,00018093306834998657;0,00015378101352325757;0,00034487905265580466;0,0003791187412259335;0,00036031373643449375;5,7755707010593535e-05;0,00011291706414340297;8,99228755965201e-05;8,650345354307579e-06
1941;0,00219124758586986;0,0007900585972363064;0,0004939944769180979;2,333780275064003e-05;0,0006185340680531226;0,00018659797303501233;0,00018310637740017097;0,00016561460662550026;0,00033374782820568986;0,0004012747175303437;0,0003463068294097736;5,588445576774705e-05;0,0001273792512230492;8,356498710782034e-05;7,947816931570223e-06
1942;0,002179934719086824;0,0007838907289884187;0,0004981755474935719;2,393392963183162e-05;0,0006637142957645535;0,0001895825611037643;0,00018453416389872603;0,00016728679546369158;0,00032584780131271273;0,0004095952817806392;0,0003474534683586431;5,382623839977896e-05;0,00012664993879038126;7,806033295310044e-05;6,956401981434673e-06
1943;0,0022183960806744707;0,0007855338740877674;0,0005075993872846343;2,3015672923065722e-05;0,0006801104648600033;0,0001915573079713795;0,0001916255980307012;0,00017647526127413066;0,00033008420164800815;0,0004259628245303507;0,00035542370824259706;5,239191978034796e-05;0,00012314377824753007;7,703203388181075e-05;7,162334826814134e-06
1944;0,0021587951518345755;0,0007989581653029226;0,0005012837326440993;2,4098142554456512e-05;0,0006679460706696513;0,00018999124579620132;0,00020222495972380524;0,00017822473767280047;0,00033129074056757545;0,0004205568529869197;0,0003496485857924979;5,137245336430039e-05;0,00012446769882704496;6,996287424954062e-05;6,433527031747741e-06
1945;0,00214822160030183;0,0008131202516129374;0,0005034244493020067;2,4042547254664116e-05;0,0006657839743898616;0,00018904549798597664;0,00019973754368558209;0,00017401655765882294;0,00033048581501913887;0,0004252772799061079;0,000343988810007951;5,168480632684285e-05;0,00011617416362241784;6,915711472694446e-05;6,230255879456439e-06
1946;0,0021497009583981708;0,0008206321581383236;0,0005023215700410739;2,3793628096362746e-05;0,0006722731216411505;0,0001876643831825017;0,00019773172620521758;0,00016775204098199277;0,00033458389420307606;0,00042105310577816065;0,0003366792173307788;5,3263237629965125e-05;0,00010972122806508975;6,463687571210488e-05;4,872030398165147e-06
1947;0,0021600084437523037;0,000812843726245254;0,0005024311056851209;2,4275886037880158e-05;0,0006271330611135843;0,00018806655361913727;0,0001941781127763014;0,00015973412083829835;0,0003260181171884012;0,0004089431253565376;0,00033051502279184727;5,106161040657753e-05;0,00010979457556459238;5,566259712200658e-05;4,80845692152343e-06
1948;0,002148197875482895;0,0008109375162998081;0,0005031892084973931;2,6188776912152078e-05;0,0006217104393207202;0,00018715388380639655;0,00018525609643152814;0,00014537394983043278;0,00033347932263235895;0,00039572905409711117;0,0003293884674349101;6,0256449176319756e-05;9,062845752591134e-05;5,5428852111357886e-05;4,668399254472076e-06
1949;0,002097661932306697;0,0008051231426569366;0,0004924837282617643;2,590448206417152e-05;0,0005692830265096356;0,00017534568022321246;0,00017641495690311006;0,00013760844370023863;0,0003261376312886049;0,00038370938649937415;0,00031697295850920327;6,204169713847867e-05;9,118457780589649e-05;5,1368179145226485e-05;4,480041023871958e-06
1950;0,001986308078422943;0,0007918292924711881;0,00047064274570272706;2,7396228371604335e-05;0,0005441598074997143;0,0001641891864372675;0,00016709970265895078;0,0001316833439497194;0,00032588995314394457;0,0003736022303460881;0,00030348118278717654;6,286680210061084e-05;9,109290398815315e-05;4,926486667500285e-05;4,468281237076813e-06
1951;0,0019418678805647816;0,0008050247093446419;0,00047095025235778716;2,8358605317992313e-05;0,0005394154803590416;0,00016565612181044083;0,0001545740896550082;0,00012969037795431047;0,0003254978569852288;0,00037324406808433456;0,0002920119511275386;6,561936670225675e-05;8,634949608676834e-05;5,206105535242906e-05;6,2160291390357865e-06
1952;0,0019503367574153735;0,0008195335275169263;0,0004764193428335213;3,0982268940858505e-05;0,0005452688908137913;0,00016607362210509433;0,00015742227625586174;0,00012996800933251507;0,00032206061340340445;0,00036256682441100044;0,000285316543470669;6,575153820774306e-05;8,979036059437411e-05;5,35433165233761e-05;7,0071613273674814e-06
1953;0,0018996200846491513;0,0008189452273654751;0,0004962770097855744;3,413818997647208e-05;0,0005349321846941686;0,00016237801219176617;0,00015888725621542626;0,00012849746359019524;0,0003215020115021616;0,0003659172599717359;0,00027621127043987926;6,259796277520633e-05;9,104550875755584e-05;4,9478243470600454e-05;7,819165404043815e-06
1954;0,0018288713753073743;0,0008512219600171583;0,0004949964152599153;3,5719714779653646e-05;0,0005441329124421047;0,00016021118004313654;0,00016654203623797263;0,00013558313704769325;0,0003245559387973377;0,00036497019339419367;0,00028240506578315817;6,578608398350687e-05;8,765196802024937e-05;5,29000325449098e-05;8,737189917594281e-06
1955;0,0018321784279708353;0,0008451212644493872;0,0004976842579448462;3,5307833862978964e-05;0,0005392789976862592;0,00016276930604622715;0,00016647371044850194;0,0001378549443740797;0,0003165397466935766;0,00036748893827669756;0,000280337504981227;6,316485447704119e-05;9,234603258586762e-05;5,552401489694603e-05;1,0045218853552537e-05
