year;teatro;iglesia;hospital;hospital;ayuntamiento;museo;colegio;estación;juzgado;metro;fábrica;farmacia;correos
1890;0,004261490435705387;0,008186119885067455;0,002378329580616472;0,002378329580616472;0,0008250567134382436;0,0004927463643460735;0,003010137879755348;0,0030074111886538696;0,002146243033556467;0,0021868279873160645;0,003459483299853413;0,000305964035110914;0,0021784760974696837
1891;0,003997456328111834;0,007346975274101299;0,002281137000993892;0,002281137000993892;0,0006483967094287177;0,0005010679420333222;0,002879026136984716;0,003180806197633501;0,002150895072970473;0,0023264383084356916;0,0036253122483945587;0,0003110352931149204;0,002071261717771579
1892;0,004010794041927771;0,006966214121868168;0,002220854055069919;0,002220854055069919;0,0007766992894175928;0,0004978121653818692;0,0028400799107787733;0,003268166593833095;0,002288674347385365;0,002389721755337502;0,0036337563610036993;0,00029155172407107396;0,001997747287012836
1893;0,0037903115818543097;0,006491290436575323;0,002123000610611468;0,002123000610611468;0,000676109818544189;0,0004997615763256492;0,0027006613890989684;0,0033739311350343216;0,00235704020659406;0,002497848981874995;0,0036705444342390236;0,00027257241786823476;0,0019425932285750086
1894;0,0037133635487407446;0,006602224467704738;0,002035330544458702;0,002035330544458702;0,0006497873723024636;0,000495514086651383;0,0026330172789000373;0,0034963692866897744;0,0027335518357826266;0,002424245238736538;0,0036801059260531998;0,00027559360660234233;0,001930268821784661
1895;0,003735443273658997;0,005997409711458853;0,002029806169697882;0,002029806169697882;0,0006747001537275667;0,00043995853177745763;0,0020590521151981583;0,003551146229645903;0,0028715836119122934;0,0025419406613634366;0,003720448148669675;0,00032324578244567547;0,0019405072115270222
1896;0,0038225990075651294;0,006158412049574378;0,0021700136130675673;0,0021700136130675673;0,0007233360845150726;0,000451587051689525;0,0019863183427202913;0,003620398014650813;0,0030031336791580543;0,0026115202282588662;0,003808584213922066;0,000352768402730622;0,0019457453812979759
1897;0,0038051568221167797;0,006081735513622074;0,0024323807468005854;0,0024323807468005854;0,0008963571807336329;0,00047418175199709367;0,0020215369659126736;0,003696487328852527;0,003073632875124791;0,0025577988968247417;0,003817874052661604;0,0003571588909575699;0,001750385087819138
1898;0,0038542481758798075;0,006228649103182502;0,0026065567518734106;0,0026065567518734106;0,0009410281693687597;0,000495856284032925;0,0022144366084830835;0,003732419073847788;0,0031361224370942053;0,00248536767425581;0,003792923754580053;0,0003798405097248698;0,0016995000935691807
1899;0,00376539516894679;0,00617192818026524;0,002640257194538468;0,002640257194538468;0,0009371353761317941;0,0005248479413109765;0,0022616543511893334;0,003838207651694704;0,003123352949582373;0,002498289177310653;0,0038150144973769784;0,00040516016334939716;0,0015972095362875344
1900;0,0037299692069479662;0,006237407433218323;0,00261682640224795;0,00261682640224795;0,0009411816855780281;0,0005384830858799562;0,002342577655716533;0,004097484790171231;0,0031027900799277374;0,002612334148060264;0,003972299029036159;0,00041520727336319396;0,001613900829917319
1901;0,003866264108052876;0,006187454242275894;0,0026695441712425755;0,0026695441712425755;0,0009385458465008664;0,0005731876431777241;0,002352480415928377;0,004395614918653986;0,0028516022471844087;0,00270924813646291;0,0041401107799694204;0,00046703207122586064;0,0015679502082223606
1902;0,003922194186348601;0,00620942638696371;0,0026671157164465903;0,0026671157164465903;0,0009136027399238497;0,0005898042348105394;0,0023171988557026324;0,004643761816883593;0,0027695097742252983;0,0027408349134410465;0,004199216969677114;0,0004719015448374973;0,0015774137864354998
1903;0,0038270444097828916;0,0063870631752901575;0,002625974931496395;0,002625974931496395;0,0008629107794279531;0,0005961282178239864;0,0025030920889029013;0,004607688554512736;0,0026455611077835783;0,00278218810438245;0,004173812080158054;0,00045082070495742045;0,0015339888964912723
1904;0,0035485386043936683;0,00607951135732167;0,002316708274260496;0,002316708274260496;0,0007113148447907795;0,0006112648277069509;0,002500242538059995;0,004748867442166167;0,0027962663287845707;0,0028652550879217286;0,004146102479093575;0,0004531564140311925;0,0017486095072984298
